PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-10 bar (mol/kg)
19.05082,27.45829,6386.62988,0.91614,2.64E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,2.608458556
24.20917,24.5783,2130.01001,0.73436,6.63E-07,56.75675676,32.43243243,0,10.81081081,0,0,0,0.64786795
7.65148,8.38547,514.70801,0.53722,1.66E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.161568921
37.54964,37.7406,2652.96997,0.83613,1.23E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,1.21365423
34.39789,34.55962,2458.88989,0.82138,1.08E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,1.065492189
55.44838,55.49799,2374.01001,0.86184,1.47E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,1.403486499
9.83864,10.52235,1355.10999,0.5936,2.64E-07,43.75,37.5,0,12.5,6.25,0,0,0.257604522
12.22862,12.7305,1936.48999,0.63643,4.24E-07,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.413939866
14.32871,14.70936,1705.06995,0.65676,4.99E-07,50,20,0,20,10,0,0,0.488292325
27.14113,34.56118,7632.5498,0.90721,2.44E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,2.380772266
5.40988,9.86844,4239.87012,0.72369,8.73E-07,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.849077584
9.26179,9.35662,3301.47998,0.72525,8.26E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.811268701
4.33796,4.51116,425.80899,0.4606,2.09E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.203000062
8.87996,8.9758,1887.91003,0.62849,6.28E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.594565691
4.09217,4.26472,280.26501,0.43218,2.10E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.201784882
12.74558,13.0458,1137.10999,0.55676,3.68E-07,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.357056602
12.78481,13.04187,1019.62,0.57778,4.41E-07,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.425568361
8.28768,8.45131,1815.68994,0.62757,3.82E-07,56.98924731,38.70967742,4.301075269,0,0,0,0,0.374889377
18.69032,20.45325,4020.01001,0.81311,1.27E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,1.206724247
30.82864,31.00321,2242.76001,0.78767,9.00E-07,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.883175047
23.14667,23.37386,2038.02002,0.74386,7.15E-07,50,37.5,6.25,6.25,0,0,0,0.688334327
16.8085,17.18555,2647.34009,0.72878,6.19E-07,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.598102724
32.26851,32.49748,2602.62012,0.82131,9.84E-07,46.875,40.625,6.25,6.25,0,0,0,0.967795301
5.24918,5.97531,1209.20996,0.52471,6.18E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.594290343
23.42499,23.65772,1707.31006,0.7245,6.47E-07,56.25,25,0,12.5,6.25,0,0,0.622676486
8.56216,9.14896,1128.28003,0.52887,3.67E-07,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.356722713
26.65941,26.99886,4453.25,0.86251,6.68E-07,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.658393743
16.21639,16.54198,1601.43005,0.64798,4.95E-07,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.481546558
17.28794,17.6262,1616.93994,0.6782,6.18E-07,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.603673247
25.30476,25.68704,2293.90991,0.73848,7.26E-07,56.75675676,37.83783784,5.405405405,0,0,0,0,0.708837801
18.04318,18.33931,2152.63989,0.6805,4.56E-07,41.66666667,37.5,8.333333333,12.5,0,0,0,0.447617696
25.21032,25.45909,2609.27002,0.79385,8.67E-07,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.829799499
10.98125,12.52501,5124.43994,0.75873,1.10E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,1.054657414
10.12633,11.59954,3856.43994,0.71232,7.91E-07,55.55555556,37.5,6.944444444,0,0,0,0,0.772933625
31.98616,32.11213,2488.97998,0.77281,8.67E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.847854604
21.24913,21.39054,1387.27002,0.6229,4.22E-07,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.414224048
16.83324,17.12234,2403.04004,0.70765,6.43E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.634608922
24.86859,25.33571,3463.21997,0.83065,1.16E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,1.149895153
9.65747,11.09613,2302.54004,0.67166,4.86E-07,53.19148936,42.55319149,4.255319149,0,0,0,0,0.479045039
14.64627,14.87351,2615.26001,0.72096,6.84E-07,59.09090909,38.63636364,2.272727273,0,0,0,0,0.667160076
26.94152,27.13079,1680.04004,0.75037,6.49E-07,55,25,10,0,0,10,0,0.635990686
9.7242,10.56229,796.69299,0.57057,2.20E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.213915442
23.89316,24.1474,2112.84009,0.70826,6.51E-07,56.09756098,37.80487805,6.097560976,0,0,0,0,0.637434036
16.82414,17.17805,1692.73999,0.59693,3.68E-07,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.362293199
9.74184,10.18081,1307.15002,0.57264,3.55E-07,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.345175445
13.58549,14.58226,2771.12012,0.70794,5.67E-07,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.551198386
21.34046,21.55193,1678.69995,0.7095,5.42E-07,40,35,10,15,0,0,0,0.524384687
9.06842,9.51559,605.03998,0.4842,1.72E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.166012432
15.60159,15.98839,2212.22998,0.7068,5.76E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.567219072
8.40883,9.02368,498.04199,0.53091,2.76E-07,37.5,46.875,6.25,6.25,0,0,3.125,0.264517904
10.67786,11.16226,1501.27002,0.59192,3.86E-07,61.9047619,33.33333333,4.761904762,0,0,0,0,0.376850715
35.49808,35.70981,2543.05005,0.83528,1.17E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,1.160035194
