PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-5 bar (mol/kg)
19.05082,27.45829,6386.62988,0.91614,2.64E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,1.313820384
24.20917,24.5783,2130.01001,0.73436,6.63E-07,56.75675676,32.43243243,0,10.81081081,0,0,0,0.328136789
7.65148,8.38547,514.70801,0.53722,1.66E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.081865907
37.54964,37.7406,2652.96997,0.83613,1.23E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.617526979
34.39789,34.55962,2458.88989,0.82138,1.08E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.533991828
55.44838,55.49799,2374.01001,0.86184,1.47E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.728225141
9.83864,10.52235,1355.10999,0.5936,2.64E-07,43.75,37.5,0,12.5,6.25,0,0,0.129554522
12.22862,12.7305,1936.48999,0.63643,4.24E-07,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.209634352
14.32871,14.70936,1705.06995,0.65676,4.99E-07,50,20,0,20,10,0,0,0.244804988
27.14113,34.56118,7632.5498,0.90721,2.44E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,1.176042999
5.40988,9.86844,4239.87012,0.72369,8.73E-07,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.432774963
9.26179,9.35662,3301.47998,0.72525,8.26E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.408804385
4.33796,4.51116,425.80899,0.4606,2.09E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.10332822
8.87996,8.9758,1887.91003,0.62849,6.28E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.307367348
4.09217,4.26472,280.26501,0.43218,2.10E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.100778645
12.74558,13.0458,1137.10999,0.55676,3.68E-07,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.178491127
12.78481,13.04187,1019.62,0.57778,4.41E-07,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.218713634
8.28768,8.45131,1815.68994,0.62757,3.82E-07,56.98924731,38.70967742,4.301075269,0,0,0,0,0.188514392
18.69032,20.45325,4020.01001,0.81311,1.27E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.624158394
30.82864,31.00321,2242.76001,0.78767,9.00E-07,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.447158713
23.14667,23.37386,2038.02002,0.74386,7.15E-07,50,37.5,6.25,6.25,0,0,0,0.353538387
16.8085,17.18555,2647.34009,0.72878,6.19E-07,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.306207108
32.26851,32.49748,2602.62012,0.82131,9.84E-07,46.875,40.625,6.25,6.25,0,0,0,0.489715157
5.24918,5.97531,1209.20996,0.52471,6.18E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.307460498
23.42499,23.65772,1707.31006,0.7245,6.47E-07,56.25,25,0,12.5,6.25,0,0,0.319625596
8.56216,9.14896,1128.28003,0.52887,3.67E-07,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.180220782
26.65941,26.99886,4453.25,0.86251,6.68E-07,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.330890222
16.21639,16.54198,1601.43005,0.64798,4.95E-07,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.246618295
17.28794,17.6262,1616.93994,0.6782,6.18E-07,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.306490009
25.30476,25.68704,2293.90991,0.73848,7.26E-07,56.75675676,37.83783784,5.405405405,0,0,0,0,0.356572556
18.04318,18.33931,2152.63989,0.6805,4.56E-07,41.66666667,37.5,8.333333333,12.5,0,0,0,0.225831867
25.21032,25.45909,2609.27002,0.79385,8.67E-07,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.431223757
10.98125,12.52501,5124.43994,0.75873,1.10E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,0.542382764
10.12633,11.59954,3856.43994,0.71232,7.91E-07,55.55555556,37.5,6.944444444,0,0,0,0,0.389281605
31.98616,32.11213,2488.97998,0.77281,8.67E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.431950123
21.24913,21.39054,1387.27002,0.6229,4.22E-07,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.208122673
16.83324,17.12234,2403.04004,0.70765,6.43E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.316292244
24.86859,25.33571,3463.21997,0.83065,1.16E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.577899002
9.65747,11.09613,2302.54004,0.67166,4.86E-07,53.19148936,42.55319149,4.255319149,0,0,0,0,0.239392476
14.64627,14.87351,2615.26001,0.72096,6.84E-07,59.09090909,38.63636364,2.272727273,0,0,0,0,0.338284543
26.94152,27.13079,1680.04004,0.75037,6.49E-07,55,25,10,0,0,10,0,0.321367848
9.7242,10.56229,796.69299,0.57057,2.20E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.108913477
23.89316,24.1474,2112.84009,0.70826,6.51E-07,56.09756098,37.80487805,6.097560976,0,0,0,0,0.31913128
16.82414,17.17805,1692.73999,0.59693,3.68E-07,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.182203316
9.74184,10.18081,1307.15002,0.57264,3.55E-07,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.174396527
13.58549,14.58226,2771.12012,0.70794,5.67E-07,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.280315012
21.34046,21.55193,1678.69995,0.7095,5.42E-07,40,35,10,15,0,0,0,0.269893831
9.06842,9.51559,605.03998,0.4842,1.72E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.084562037
15.60159,15.98839,2212.22998,0.7068,5.76E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.287998327
8.40883,9.02368,498.04199,0.53091,2.76E-07,37.5,46.875,6.25,6.25,0,0,3.125,0.135485084
10.67786,11.16226,1501.27002,0.59192,3.86E-07,61.9047619,33.33333333,4.761904762,0,0,0,0,0.190304982
35.49808,35.70981,2543.05005,0.83528,1.17E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.579128816
11.24577,11.69348,1878.98999,0.61793,4.06E-07,57.14285714,35.71428571,7.142857143,0,0,0,0,0.199378127
17.10247,17.40166,931.42102,0.52413,2.53E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.125492155
22.83776,23.86923,6042.70996,0.85985,1.64E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.816257309
25.24985,25.75558,3938.86011,0.84708,1.34E-06,54.375,36.875,5,0,0,0,3.75,0.655664804
23.81541,24.06097,1836.46997,0.72,6.20E-07,61.11111111,33.33333333,5.555555556,0,0,0,0,0.310325023
32.05735,32.23261,1982.25,0.77406,8.21E-07,60.86956522,34.7826087,4.347826087,0,0,0,0,0.408210403
16.88399,17.68947,4052.83008,0.814,1.12E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.552303791
38.02857,38.18265,2431.3999,0.82078,1.09E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.540970423
38.73254,38.88757,2576.98999,0.84211,1.20E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.600144535
37.57103,37.65768,3115.06006,0.85471,1.34E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.666314933
26.35383,26.54457,2087.62012,0.7667,7.35E-07,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.367935779
25.82308,26.05354,2080.82007,0.77613,7.76E-07,50,33.33333333,11.11111111,5.555555556,0,0,0,0.38283406
38.80415,38.87484,2615.83008,0.80107,1.02E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.508667649
12.63935,13.00429,1703.72998,0.64686,4.40E-07,52,28,12,8,0,0,0,0.216182291
19.01342,19.17629,2136.29004,0.73683,6.70E-07,47.5,35,10,7.5,0,0,0,0.332951791
27.09753,27.20541,2185.05005,0.788,8.45E-07,47.5,35,10,5,0,0,2.5,0.423771319
38.96494,39.10948,2624.19995,0.83403,1.19E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.595273022
25.97309,26.2053,2390.20996,0.76615,8.29E-07,56,40,4,0,0,0,0,0.416593161
21.23209,21.48076,2268.12988,0.77195,7.52E-07,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.371753965
23.07197,23.97178,5086.93994,0.85531,1.67E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.835798211
10.6711,11.55953,1070.43005,0.57033,3.01E-07,54.54545455,39.39393939,6.060606061,0,0,0,0,0.148936824
18.67204,18.83659,1512.76001,0.6517,5.23E-07,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.257671949
8.40704,8.94082,1003.71002,0.5054,2.90E-07,57.14285714,28.57142857,14.28571429,0,0,0,0,0.142225135
10.55911,10.99477,1251.15002,0.55296,3.11E-07,60,30,10,0,0,0,0,0.154392106
6.02454,6.73973,1045.28003,0.52031,3.55E-07,50,25,25,0,0,0,0,0.172105053
21.99696,22.25586,1738.93994,0.7308,6.16E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.305392716
14.85301,15.16228,1491.92004,0.64361,4.40E-07,50,25,8.333333333,16.66666667,0,0,0,0.218574909
15.82205,16.14031,1643.07996,0.65932,4.82E-07,50,33.33333333,8.333333333,8.333333333,0,0,0,0.238080445
19.13906,19.38998,1646.42004,0.70693,5.62E-07,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.279107815
21.82039,21.8886,875.01703,0.64564,6.27E-07,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.311463854
21.37782,30.82595,6945.16016,0.93253,3.22E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,1.606760661
29.18206,29.3658,1965.17004,0.76261,7.07E-07,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.350565175
34.20807,34.38021,2126.71997,0.79858,8.09E-07,65,20,0,10,5,0,0,0.402477586
30.33059,30.47384,1944.23999,0.78613,9.70E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.482659472
28.39359,28.54899,997.479,0.7137,8.33E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.411644751
29.45341,29.61307,2212.42993,0.78412,8.42E-07,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.418972307
19.00554,19.13609,1811.78003,0.71373,6.26E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.311433102
17.50946,17.74283,1771.46997,0.70636,5.95E-07,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.293839466
17.39891,18.46826,4381.72021,0.82309,1.41E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.690393281
28.79472,28.86274,936.651,0.71451,7.89E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.392024221
14.17588,16.11614,7239.43018,0.89917,2.28E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,1.12729277
14.1657,16.1092,6601.52979,0.89554,2.07E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,1.03524815
14.61452,15.22205,2336.6001,0.72,5.93E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.2923869
16.38605,16.51747,1842.12,0.67382,5.26E-07,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.259775347
25.51861,25.62212,1972.40002,0.74221,7.10E-07,50,41.56626506,4.21686747,4.21686747,0,0,0,0.354355341
24.38007,24.50352,1920.18005,0.73422,6.84E-07,50,40.36144578,4.21686747,5.421686747,0,0,0,0.343814309
23.23815,23.3108,1885.54004,0.73129,6.72E-07,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.333502767
23.96858,24.14078,1841.44995,0.72704,6.54E-07,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.322721612
20.81746,20.94701,1448.55005,0.68025,5.12E-07,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.253439419
19.26829,19.35467,1469.69995,0.6743,4.79E-07,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.238308221
4.91947,5.5683,631.85797,0.46478,2.21E-07,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.107168355
39.68396,39.9305,2637.72998,0.79808,9.28E-07,56.66666667,40,3.333333333,0,0,0,0,0.461316013
17.39813,17.54485,1510.25,0.6812,5.13E-07,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.255247835
43.78149,43.89693,1841.88,0.82443,9.77E-07,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.484678995
44.50286,44.62077,1887.98999,0.83009,1.03E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.508767694
10.03478,10.55424,1336.09998,0.58091,2.91E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.144904352
10.03478,10.55424,1489.54004,0.58536,3.14E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.156832698
10.03478,10.55424,1594.46997,0.59539,3.16E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.156251426
10.03477,10.55423,1194.60999,0.57493,2.62E-07,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.129048938
27.14794,27.41477,2555.88989,0.80083,9.21E-07,50,40,5,5,0,0,0,0.453770427
31.82555,31.90137,2335.69995,0.76263,9.76E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.483560984
32.86681,33.03455,2720.17993,0.78805,9.80E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.485806774
16.93789,17.22858,1127.60999,0.64756,3.47E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.172056616
19.33353,19.49908,2090.81006,0.71981,6.65E-07,57.57575758,36.36363636,6.060606061,0,0,0,0,0.325685871
24.69607,24.82011,2025.39001,0.77125,8.23E-07,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.41113114
11.7271,12.13815,1159.67004,0.5796,2.50E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.123916967
11.85435,12.27828,1228.58997,0.58361,2.78E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.137345591
19.22142,20.2581,4417.16016,0.83159,5.91E-07,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.292752378
9.11507,9.87639,1733.82996,0.62708,4.14E-07,57.14285714,33.33333333,9.523809524,0,0,0,0,0.20439469
11.06228,11.3751,1692.01001,0.61999,4.29E-07,57.79816514,35.77981651,6.422018349,0,0,0,0,0.21130173
10.72674,11.02482,1514.69995,0.58655,3.75E-07,62.96296296,33.33333333,3.703703704,0,0,0,0,0.183862142
14.44897,15.66519,4133.66016,0.80334,1.27E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.619287263
41.05191,41.18296,2277.42993,0.83019,1.17E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.580871805
9.37565,10.89243,4926.83984,0.79181,1.24E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.607676686
5.94566,7.11918,2071.25,0.61417,3.74E-07,57.89473684,36.84210526,5.263157895,0,0,0,0,0.18323078
14.43667,14.78901,2002.96997,0.67089,5.29E-07,53.57142857,35.71428571,10.71428571,0,0,0,0,0.260555076
16.83791,17.15189,2429.28003,0.7208,6.52E-07,56.66666667,33.33333333,10,0,0,0,0,0.325697323
15.00043,15.20734,2146.33008,0.70036,5.24E-07,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.258732999
19.77265,22.16294,7074.95996,0.90228,2.16E-06,56.25,25,12.5,6.25,0,0,0,1.071012452
9.18961,9.80273,1760.02002,0.61887,3.49E-07,40,25,25,10,0,0,0,0.172764311
20.79435,21.19984,3865.05005,0.83165,1.44E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.711602329
16.15375,16.51787,1693.45996,0.66858,5.40E-07,59.57446809,36.17021277,4.255319149,0,0,0,0,0.268749063
18.14826,18.49638,1738.56006,0.68262,4.89E-07,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.243239223
7.26129,8.03185,1407.06006,0.58642,3.75E-07,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.18416649
6.48972,7.45349,712.04901,0.48016,1.37E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.067622886
15.35492,15.8509,1737.81006,0.65846,4.27E-07,48.93617021,48.93617021,2.127659574,0,0,0,0,0.212124464
35.71819,35.86719,2370,0.80469,9.87E-07,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.490913402
25.41555,25.64462,2274.38989,0.78509,8.54E-07,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.422686511
32.79335,33.01595,2573.55005,0.83225,1.09E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.541524079
9.54557,9.6007,829.42902,0.45714,1.85E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.092027032
13.11194,13.17228,1038.40002,0.51924,2.78E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.137294625
10.59437,12.48237,8330.88965,0.8853,2.01E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.999159411
9.58505,10.43754,8104.58984,0.8307,1.44E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.702418039
24.61711,29.01327,8661.80957,0.94786,4.34E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,2.088072228
10.07551,12.01945,8231.87988,0.87866,1.92E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.95069229
9.7459,10.65169,8189.8501,0.82298,1.40E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.679534368
24.10888,28.27167,8765.76953,0.94317,4.07E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,1.964681525
