PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-1bar (mol/kg)
18.07182,18.53359,1954.44,0.70566,5.05E-06,58,36,6,0,0,0,0,0.517548628
9.97193,10.44945,1823.55,0.62708,7.45E-06,50,33.33333333,16.66666667,0,0,0,0,0.799608544
9.29839,9.76611,1544.51,0.59258,9.19E-06,50,33.33333333,16.66666667,0,0,0,0,1.015167655
29.11056,29.29453,1870.34,0.7632,5.35E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.552529748
29.68302,29.86296,2071.6,0.78602,4.22E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.435809291
12.07344,12.33825,3298.03,0.75084,1.54E-05,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.526390753
10.1596,10.5606,1305.72,0.57934,1.26E-05,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,1.428627151
31.67982,31.93506,2448.75,0.82536,6.57E-06,54.54545455,27.27272727,4.545454545,9.090909091,4.545454545,0,0,0.682775508
11.36215,11.54437,1129.92,0.55868,1.06E-05,60,25,5,10,0,0,0,1.181394796
12.6352,13.02033,1452.87,0.61674,1.59E-05,60,20,10,10,0,0,0,1.561641041
28.67772,28.86447,1950.31,0.771,5.55E-06,60,30,5,5,0,0,0,0.58172988
16.56768,16.88792,1714.36,0.66374,5.68E-06,61.53846154,38.46153846,0,0,0,0,0,0.583920499
21.08443,21.27538,2039.01,0.6908,8.38E-06,54.83870968,38.70967742,3.225806452,0,0,0,3.225806452,0.830460923
21.54252,21.84179,2043.69,0.7174,6.02E-06,60.71428571,32.14285714,3.571428571,0,0,0,3.571428571,0.62694302
15.58649,15.79013,1927.2,0.68516,5.04E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,0.515318121
22.49727,22.82201,2287.09,0.75268,5.21E-06,58.18181818,36.36363636,5.454545455,0,0,0,0,0.526321293
13.84176,14.11905,1836.85,0.6642,5.28E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,0.544286825
29.88783,30.08263,1741.96,0.7759,9.45E-06,57.89473684,21.05263158,0,10.52631579,5.263157895,0,5.263157895,0.965330328
31.38514,31.68082,2277.34,0.77402,9.48E-06,58.13953488,32.55813953,4.651162791,0,0,0,4.651162791,0.918349457
23.42764,23.68646,1782.64,0.72634,1.79E-05,50,30.76923077,0,11.53846154,3.846153846,0,3.846153846,1.740715364
7.49194,8.42477,5204.86,0.77266,1.41E-05,47.82608696,43.47826087,8.695652174,0,0,0,0,1.535086931
7.37376,8.49886,4304.48,0.7488,1.92E-05,44,40,8,8,0,0,0,2.232747943
31.32681,31.50293,2056.26,0.73294,5.62E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,0.553886752
