PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-5 bar (mol/kg)
32.02224,34.88694,8240.71,0.9303,4.83E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,2.409762815
38.93275,41.51063,8717.54,0.93942,5.35E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,2.675389914
27.22939,27.58431,2220.86,0.7517,2.16E-06,56.75675676,32.43243243,5.405405405,0,0,0,5.405405405,1.017628429
18.07182,18.53359,1954.44,0.70566,1.58E-06,58,36,6,0,0,0,0,0.760574009
9.97193,10.44945,1823.55,0.62708,1.92E-06,50,33.33333333,16.66666667,0,0,0,0,0.911515794
9.29839,9.76611,1544.51,0.59258,2.04E-06,50,33.33333333,16.66666667,0,0,0,0,0.951705719
29.11056,29.29453,1870.34,0.7632,1.69E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.827343332
29.68302,29.86296,2071.6,0.78602,1.62E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.801971889
12.07344,12.33825,3298.03,0.75084,2.43E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,1.195020795
10.1596,10.5606,1305.72,0.57934,1.80E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.843632861
31.67982,31.93506,2448.75,0.82536,1.98E-06,54.54545455,27.27272727,4.545454545,9.090909091,4.545454545,0,0,0.980542627
11.36215,11.54437,1129.92,0.55868,1.64E-06,60,25,5,10,0,0,0,0.7808602
12.6352,13.02033,1452.87,0.61674,2.67E-06,60,20,10,10,0,0,0,1.175734806
28.67772,28.86447,1950.31,0.771,1.90E-06,60,30,5,5,0,0,0,0.931200496
16.56768,16.88792,1714.36,0.66374,1.68E-06,61.53846154,38.46153846,0,0,0,0,0,0.800324948
21.08443,21.27538,2039.01,0.6908,1.94E-06,54.83870968,38.70967742,3.225806452,0,0,0,3.225806452,0.908469997
21.54252,21.84179,2043.69,0.7174,1.72E-06,60.71428571,32.14285714,3.571428571,0,0,0,3.571428571,0.827069591
15.58649,15.79013,1927.2,0.68516,1.55E-06,59.52380952,35.71428571,4.761904762,0,0,0,0,0.752748847
22.49727,22.82201,2287.09,0.75268,1.83E-06,58.18181818,36.36363636,5.454545455,0,0,0,0,0.896795368
