PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal
34.6844,39.98605,6836.86,0.9422,3.55E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
15.9367,17.56359,7261.51,0.90996,2.33E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
20.41736,27.57174,7208.09,0.92368,2.78E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
14.76607,21.36461,5190.53,0.85294,1.52E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
15.3982,15.99668,5025.41,0.82748,1.23E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
28.46692,32.00006,7286.47,0.93576,3.30E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
24.91048,27.79375,7245.57,0.93384,3.20E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
22.73021,28.38534,7179.17,0.92546,2.86E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
13.42671,18.35646,7394.63,0.90012,2.17E-06,52.94117647,38.23529412,5.882352941,2.941176471,0,0,0
6.50298,12.38705,4989.36,0.78142,9.31E-07,47.36842105,28.94736842,10.52631579,13.15789474,0,0,0
10.17868,11.28196,4784.15,0.7787,9.23E-07,47.36842105,28.94736842,10.52631579,13.15789474,0,0,0
13.89552,18.81576,5971.54,0.8823,1.63E-06,47.36842105,28.94736842,10.52631579,13.15789474,0,0,0
35.18865,41.42433,7151.63,0.9472,4.08E-06,60,36.66666667,0,3.333333333,0,0,0
16.45593,17.42071,7483.7,0.91776,2.68E-06,60,36.66666667,0,3.333333333,0,0,0
11.16421,12.93957,6137.46,0.83346,1.44E-06,60,36.66666667,0,3.333333333,0,0,0
34.95243,39.89252,7449.87,0.94034,3.60E-06,60,36.66666667,0,3.333333333,0,0,0
23.0325,25.31786,7496.87,0.93368,3.23E-06,60,36.66666667,0,3.333333333,0,0,0
17.13718,20.90175,7502.45,0.89274,2.10E-06,60,36.66666667,0,3.333333333,0,0,0
19.53489,20.10759,7480.01,0.92298,2.76E-06,60,36.66666667,0,3.333333333,0,0,0
23.79549,53.89379,7479.26,0.93932,3.52E-06,60,36.66666667,0,3.333333333,0,0,0
18.18942,22.39118,6609.31,0.88318,1.93E-06,60,36.66666667,0,3.333333333,0,0,0
