PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CO2-10 bar (mol/kg)
5.02763,5.77387,1101.82,0.57018,3.92E-05,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,7.107202378
5.05599,5.65179,607.027,0.55358,7.53E-05,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,7.746744525
23.44472,23.68264,1927.91,0.73568,7.19E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,7.193900584
21.65111,21.90241,1667.04,0.69412,6.30E-06,50,40,5,5,0,0,0,6.345645882
14.56137,14.80414,1601.61,0.65458,7.49E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,8.027203347
10.9469,11.39779,1390.45,0.58732,1.14E-05,55,35,5,5,0,0,0,9.359274037
7.16556,9.34656,4266.05,0.7499,2.24E-04,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,22.93763283
18.84768,19.35841,2221.59,0.75284,2.04E-05,56.25,31.25,3.125,0,0,9.375,0,11.09523058
18.58985,19.00793,1891.19,0.72758,2.04E-05,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,9.160059086
31.34049,31.52027,1938.68,0.7794,6.48E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,6.949221461
8.50466,9.68318,5308.23,0.79852,1.66E-05,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,30.49018834
19.05082,27.47264,6351.38,0.9169,1.06E-05,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,13.0622483
24.20917,24.5783,2109.22,0.73274,1.27E-05,56.75675676,32.43243243,0,10.81081081,0,0,0,8.061395488
7.6513,8.38327,513.384,0.53882,1.96E-06,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,1.945645834
37.54961,37.74057,2647.6,0.83454,4.94E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,5.611854133
34.3979,34.55962,2449.5,0.82182,5.80E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,6.371374769
55.44839,55.49799,2371.05,0.86226,5.77E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,6.497785186
9.79296,10.47702,1277.65,0.58932,2.33E-06,43.75,37.5,0,12.5,6.25,0,0,3.194855795
12.22497,12.7233,1965.68,0.6377,1.02E-05,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,8.012971131
13.70357,14.0752,1601.26,0.63478,1.70E-05,50,20,0,20,10,0,0,10.40986663
27.14113,34.56119,7623.71,0.90746,1.11E-05,57.63546798,38.42364532,3.9408867,0,0,0,0,13.31063395
5.40897,9.86824,4214.86,0.72396,2.22E-05,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,17.58945457
