PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,N2-0.1 bar (mol/kg)
32.73607,32.90312,1910.99,0.78096,2.05E-06,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,0.020111669
8.53533,9.02441,928.833,0.4902,2.01E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.019994545
8.54051,9.02697,907.124,0.48356,2.02E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.020330661
10.6911,11.33366,1450.41,0.57354,2.07E-06,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,0.020682109
34.44668,34.61497,1924.91,0.79376,1.99E-06,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,0.020075782
22.28222,22.52993,1811.83,0.73536,1.73E-06,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,0.017363984
29.34631,29.53268,1927.96,0.77516,1.93E-06,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,0.019077658
14.50589,14.87005,1498.63,0.64632,1.66E-06,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,0.016656492
15.39744,15.74056,1641.19,0.67062,1.50E-06,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,0.014986235
34.82461,34.97956,1866.35,0.79366,1.97E-06,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,0.01938191
15.76522,16.06665,2164.64,0.71522,1.89E-06,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,0.018934875
7.84341,8.45883,1393.3,0.56732,2.55E-06,58.69565217,34.7826087,6.52173913,0,0,0,0,0.025071821
7.98521,9.86309,3946.15,0.72614,3.70E-06,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,0.037247681
18.49772,23.03655,8580.7,0.9386,5.10E-06,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,0.052610392
5.02763,5.77387,1101.82,0.57018,3.02E-06,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,0.029952352
5.05599,5.65179,607.027,0.55358,4.29E-06,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,0.042668584
23.44472,23.68264,1927.91,0.73568,1.74E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.017243439
21.65111,21.90241,1667.04,0.69412,1.72E-06,50,40,5,5,0,0,0,0.017230464
14.56137,14.80414,1601.61,0.65458,1.51E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.015012156
10.9469,11.39779,1390.45,0.58732,1.90E-06,55,35,5,5,0,0,0,0.0189531
7.16556,9.34656,4266.05,0.7499,7.41E-06,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,0.072645243
18.84768,19.35841,2221.59,0.75284,1.74E-06,56.25,31.25,3.125,0,0,9.375,0,0.01731938
18.58985,19.00793,1891.19,0.72758,1.38E-06,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,0.013957819
31.34049,31.52027,1938.68,0.7794,1.89E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,0.01915795
8.50466,9.68318,5308.23,0.79852,3.61E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,0.036160037
19.05082,27.47264,6351.38,0.9169,4.45E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,0.043519777
24.20917,24.5783,2109.22,0.73274,2.16E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,0.021282696
7.6513,8.38327,513.384,0.53882,3.31E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.00313093
37.54961,37.74057,2647.6,0.83454,2.22E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.022154532
34.3979,34.55962,2449.5,0.82182,2.13E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.021207064
55.44839,55.49799,2371.05,0.86226,2.49E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.025272059
9.79296,10.47702,1277.65,0.58932,5.15E-07,43.75,37.5,0,12.5,6.25,0,0,0.005053132
12.22497,12.7233,1965.68,0.6377,1.55E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.01578878
13.70357,14.0752,1601.26,0.63478,2.39E-06,50,20,0,20,10,0,0,0.023843524
27.14113,34.56119,7623.71,0.90746,4.36E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,0.043918383
5.40897,9.86824,4214.86,0.72396,3.88E-06,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.03903001
9.26179,9.35855,3254.74,0.72776,3.28E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.032995452
4.33795,4.58342,399.366,0.46242,3.05E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.030199319
8.87996,8.97856,1869.59,0.62822,4.15E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.041477326
4.09217,4.35137,258.579,0.43584,3.35E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.03305506
12.74558,13.0458,1134.58,0.5562,2.94E-06,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.028773969
12.78481,13.08945,1111.54,0.59634,2.96E-06,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.029453027
8.28768,8.45131,1791.81,0.62786,1.28E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.012787141
18.69066,20.45335,3980.38,0.81322,6.75E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.065365516
30.82882,31.00347,2234.24,0.78856,1.94E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.019531808
23.14657,23.37377,2027.01,0.74468,1.80E-06,50,37.5,6.25,6.25,0,0,0,0.018015454
16.8085,17.19339,2642.36,0.72696,2.08E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.020825571
32.26851,32.49748,2597.35,0.82036,1.71E-06,46.875,40.625,6.25,6.25,0,0,0,0.017100877
21.98706,22.24941,1742.73,0.7308,1.87E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.019099978
23.64538,23.86875,1697.67,0.72312,1.78E-06,56.25,25,0,12.5,6.25,0,0,0.018014946
8.56216,9.14896,1114.65,0.53162,2.61E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.026356547
24.14836,24.38426,1743.58,0.73324,1.77E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.017384136
16.21639,16.54198,1595.7,0.65038,1.59E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.016005047
17.28794,17.6262,1612.52,0.67756,3.02E-06,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.030475251
25.30476,25.68704,2252.6,0.7401,2.37E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,0.024367652
18.04318,18.33921,2142.94,0.68034,1.18E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.011645685
25.21035,25.45912,2597.93,0.79384,1.72E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.017192535
10.98125,12.52501,5102.7,0.75934,5.48E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,0.055178227
10.12633,11.59954,3831.24,0.71288,4.22E-06,55.55555556,37.5,6.944444444,0,0,0,0,0.041549289
31.98616,32.11213,2477.4,0.77316,2.30E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.022977438
21.24887,21.39035,1375.09,0.62376,1.43E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.014163855
16.83337,17.12286,2390.91,0.70752,1.69E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.017310459
24.86871,25.35566,3444.92,0.8318,2.40E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.02346277
9.65747,11.09613,2283.27,0.67046,1.53E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,0.015903445
14.64627,14.87352,2607.7,0.72348,2.03E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,0.020568181
26.94167,27.1243,1677.46,0.75146,1.56E-06,55,25,10,0,0,10,0,0.015677592
9.7242,10.56229,782.175,0.5707,9.39E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.009522231
23.89316,24.1474,2102,0.70558,2.04E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,0.020391236
16.82414,17.17805,1684.24,0.59818,1.72E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,0.017222862
9.74184,10.18081,1301.04,0.57538,1.74E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,0.017082729
13.58509,14.58188,2747.7,0.70796,1.56E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,0.015646573
21.34032,21.55177,1674.5,0.70852,1.46E-06,40,35,10,15,0,0,0,0.014442955
9.06841,9.51608,600.981,0.48302,8.47E-07,55.07246377,37.68115942,7.246376812,0,0,0,0,0.008603062
15.60159,15.98839,2205.43,0.70816,1.58E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,0.015780572
8.40883,9.02368,482.236,0.52898,1.22E-06,37.5,46.875,6.25,6.25,0,0,3.125,0.01187664
10.67786,11.16226,1488.03,0.59456,1.49E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,0.01453439
35.49808,35.70981,2538.44,0.83738,2.14E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,0.021388554
11.24578,11.69348,1860.91,0.61976,1.39E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,0.013822666
17.10247,17.40167,927.31,0.52224,8.50E-07,51.35135135,40.54054054,8.108108108,0,0,0,0,0.008427149
22.83776,23.86923,6014.09,0.8601,5.03E-06,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,0.050829016
25.24971,25.75548,3913,0.84754,2.72E-06,54.375,36.875,5,0,0,0,3.75,0.026844687
23.81541,24.06097,1831.5,0.72056,1.34E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,0.013370591
32.05739,32.23268,1966.39,0.77422,1.55E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,0.015722492
16.88399,17.68947,4042.07,0.81256,2.49E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,0.024750915
38.02857,38.18266,2421.47,0.82272,1.95E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.019334215
38.73241,38.88744,2573.21,0.84332,2.16E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,0.021991736
37.56498,37.65744,3106.64,0.85454,2.36E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,0.023606703
26.35383,26.54457,2082.13,0.76606,1.52E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,0.015316189
25.82277,26.05323,2077.82,0.77472,2.01E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,0.020027228
38.80415,38.87485,2607.72,0.80212,2.42E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,0.024004547
12.63935,13.00429,1699.8,0.64652,1.48E-06,52,28,12,8,0,0,0,0.014614085
19.01338,19.17626,2119.45,0.73848,1.76E-06,47.5,35,10,7.5,0,0,0,0.017663871
27.09758,27.20545,2190.75,0.78752,1.86E-06,47.5,35,10,5,0,0,2.5,0.018798001
38.96494,39.10948,2611.01,0.83528,2.15E-06,54.16666667,37.5,8.333333333,0,0,0,0,0.02119968
25.97265,26.20447,2379.75,0.76662,1.89E-06,56,40,4,0,0,0,0,0.018846152
21.23186,21.48053,2260.29,0.773,1.63E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,0.015850113
23.07162,23.97144,5034.96,0.85508,7.64E-06,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,0.072926946
10.6711,11.55953,1045.28,0.57244,1.83E-06,54.54545455,39.39393939,6.060606061,0,0,0,0,0.017977472
18.67205,18.83659,1507.46,0.65308,1.79E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,0.018188484
8.40705,8.94082,993.066,0.5077,1.97E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,0.019808358
10.55911,10.99477,1241.18,0.55678,1.24E-06,60,30,10,0,0,0,0,0.012302212
6.02452,6.73972,1007.55,0.52324,4.09E-06,50,25,25,0,0,0,0,0.040352523
21.99696,22.25586,1733.44,0.72906,1.88E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.019063461
14.85314,15.16267,1485.39,0.64318,1.56E-06,50,25,8.333333333,16.66666667,0,0,0,0.015522103
15.82205,16.14031,1634.8,0.66114,1.52E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.015180146
19.03653,19.28003,1547.81,0.69218,1.90E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,0.018953562
21.82001,22.09147,1891.18,0.73434,1.66E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,0.016496051
21.37753,30.82847,6958.99,0.93212,4.94E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,0.049486282
27.50721,27.70127,1782.77,0.74908,1.66E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,0.016748029
31.42483,31.59639,1787.64,0.7723,1.97E-06,65,20,0,10,5,0,0,0.019747316
30.33059,30.47384,1932.9,0.78676,3.15E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.031447189
28.94654,29.02379,2148.74,0.78628,1.64E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.016408389
29.44973,29.61979,2207.3,0.78594,1.67E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,0.01692802
19.00554,19.13609,1806.59,0.71216,1.86E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.018566233
17.50947,17.74285,1762.18,0.70666,2.06E-06,54.54545455,34.54545455,7.272727273,3.636363636,0,0,0,0.020815572
17.39891,18.46813,4307.16,0.82422,7.06E-06,53.57142857,35.71428571,7.142857143,3.571428571,0,0,0,0.070818119
28.83791,28.97733,2055.84,0.78488,1.49E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.014426328
14.17588,16.11614,7251.58,0.90082,3.95E-06,46.34146341,39.02439024,4.87804878,4.87804878,4.87804878,0,0,0.038858941
14.1657,16.1092,6615.93,0.89698,3.70E-06,46.34146341,34.14634146,4.87804878,4.87804878,4.87804878,4.87804878,0,0.036331363
14.61444,15.22203,2323.71,0.7196,1.63E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.016206681
16.38611,16.51752,1837.52,0.6725,1.77E-06,52.45901639,37.70491803,6.557377049,3.278688525,0,0,0,0.01751835
25.51863,25.62215,1965.11,0.74186,1.74E-06,50,41.56626506,4.21686747,4.21686747,0,0,0,0.017340142
24.38004,24.50349,1916.35,0.73354,1.76E-06,50,40.36144578,4.21686747,5.421686747,0,0,0,0.017992258
23.23817,23.31082,1877.56,0.73106,1.71E-06,49.70414201,40.82840237,4.142011834,5.325443787,0,0,0,0.017318365
23.9675,24.14077,1831.45,0.72804,1.54E-06,48.87640449,42.69662921,4.494382022,3.93258427,0,0,0,0.014956298
20.81745,20.94699,1447.82,0.68052,1.28E-06,46.22641509,44.33962264,3.773584906,5.660377358,0,0,0,0.012548823
19.26829,19.382,1464.14,0.67458,1.16E-06,45.87155963,43.11926606,3.669724771,7.339449541,0,0,0,0.011479303
4.91947,5.5683,609.527,0.4658,1.95E-06,45.53571429,43.75,3.571428571,7.142857143,0,0,0,0.018915424
39.68397,39.9305,2621.58,0.79732,1.93E-06,56.66666667,40,3.333333333,0,0,0,0,0.019186929
17.39813,17.54485,1499.4,0.68054,1.77E-06,57.69230769,27.88461538,8.653846154,5.769230769,0,0,0,0.017612415
42.80809,42.93816,1829.24,0.81612,2.03E-06,57.57575758,24.24242424,3.03030303,12.12121212,3.03030303,0,0,0.020687034
43.28884,43.42187,1934.87,0.82484,2.05E-06,56.66666667,23.33333333,3.333333333,13.33333333,3.333333333,0,0,0.020632435
10.03477,10.55423,1317.7,0.5808,1.22E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.012281677
10.03477,10.55423,1467.28,0.58566,1.30E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.012768387
10.03477,10.55423,1572.98,0.59568,1.23E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.012212854
7.62148,7.93604,1293.92,0.56012,1.19E-06,50.94339623,37.73584906,5.660377358,3.773584906,0,1.886792453,0,0.011924199
27.14804,27.41489,2545.35,0.80114,1.88E-06,50,40,5,5,0,0,0,0.018603896
31.82555,31.90137,2323.9,0.76406,3.78E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.037785834
32.86681,33.03455,2711.04,0.78798,2.88E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,0.028449175
16.93791,17.2286,1127.87,0.64998,9.38E-07,58.62068966,10.34482759,3.448275862,0,0,27.5862069,0,0.009360976
19.33361,19.49918,2091.09,0.72138,1.89E-06,57.57575758,36.36363636,6.060606061,0,0,0,0,0.018905872
24.69608,24.82012,2023.28,0.77204,1.88E-06,60.60606061,30.3030303,0,6.060606061,3.03030303,0,0,0.018686487
11.7271,12.13815,1151.15,0.58086,6.75E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.00668382
11.85435,12.28175,1214.17,0.58532,8.78E-07,66.66666667,16.66666667,8.333333333,8.333333333,0,0,0,0.008493005
18.35805,18.71848,1683.52,0.6895,1.83E-06,54.90196078,29.41176471,3.921568627,7.843137255,3.921568627,0,0,0.017845756
9.11511,9.87643,1713.67,0.62662,1.64E-06,57.14285714,33.33333333,9.523809524,0,0,0,0,0.016616712
11.06222,11.37486,1677.68,0.61804,1.77E-06,57.79816514,35.77981651,6.422018349,0,0,0,0,0.017472989
10.72675,11.02482,1505.03,0.58464,1.50E-06,62.96296296,33.33333333,3.703703704,0,0,0,0,0.015099446
14.44901,15.66522,4062.67,0.80292,6.72E-06,56.66666667,33.33333333,6.666666667,3.333333333,0,0,0,0.065569714
41.05112,41.1773,2272.28,0.83222,2.35E-06,60.86956522,26.08695652,0,8.695652174,4.347826087,0,0,0.023428926
9.37583,11.01204,4872.89,0.793,7.56E-06,52.30769231,35.38461538,6.153846154,6.153846154,0,0,0,0.074910879
5.94566,7.11918,2019.34,0.61318,1.49E-06,57.89473684,36.84210526,5.263157895,0,0,0,0,0.015203118
14.43667,14.78901,1987.87,0.66862,1.63E-06,53.57142857,35.71428571,10.71428571,0,0,0,0,0.016305124
16.83791,17.15189,2411.8,0.71904,1.77E-06,56.66666667,33.33333333,10,0,0,0,0,0.017233618
15.00037,15.2073,2127.23,0.70194,1.58E-06,51.42857143,40,1.428571429,5.714285714,1.428571429,0,0,0.015413865
19.77262,22.16292,7094.57,0.90412,4.30E-06,56.25,25,12.5,6.25,0,0,0,0.04319897
9.18961,9.80273,1739.36,0.6184,1.11E-06,40,25,25,10,0,0,0,0.010923871
20.79435,21.19983,3846.24,0.83142,3.94E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.038674895
16.15375,16.51788,1691.43,0.66724,2.01E-06,59.57446809,36.17021277,4.255319149,0,0,0,0,0.020546652
18.14826,18.49638,1732.61,0.68272,1.55E-06,57.89473684,31.57894737,5.263157895,5.263157895,0,0,0,0.015745303
7.26122,8.0558,1381.08,0.58616,1.95E-06,50.4587156,44.95412844,2.752293578,1.834862385,0,0,0,0.019521721
6.48996,7.45342,702.761,0.4803,5.81E-07,44.73684211,50,2.631578947,2.631578947,0,0,0,0.005582571
15.35482,15.85081,1728.24,0.66142,1.07E-06,48.93617021,48.93617021,2.127659574,0,0,0,0,0.010712666
35.71819,35.86719,2366.26,0.80666,1.54E-06,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,0.01596228
25.41555,25.64462,2270.49,0.7851,1.77E-06,56.41025641,35.8974359,5.128205128,0,0,0,2.564102564,0.017864589
32.79335,33.01596,2559.5,0.83286,1.89E-06,56.52173913,34.7826087,4.347826087,0,0,0,4.347826087,0.018363885
9.54557,9.60069,821.238,0.45824,6.74E-07,48.10810811,49.72972973,2.162162162,0,0,0,0,0.006958058
13.11194,13.17228,1032.13,0.51894,9.69E-07,50.24875622,47.76119403,1.990049751,0,0,0,0,0.009920392
10.59437,12.48955,8339.6,0.88504,3.76E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.037968043
9.58065,10.43778,8105.77,0.83242,3.70E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.036348132
24.61711,29.01327,8684.09,0.94858,5.90E-06,54.28571429,38.0952381,3.80952381,3.80952381,0,0,0,0.058668134
10.07551,12.06451,8233.61,0.8788,3.73E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.038204983
9.7459,10.65907,8177.69,0.82438,3.75E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.036925241
24.10888,28.27167,8780.71,0.94386,5.66E-06,52.13675214,41.02564103,3.418803419,3.418803419,0,0,0,0.056388418
8.66317,9.76361,7545.81,0.8085,3.65E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.036540125
23.74486,28.52567,8254.16,0.94274,5.65E-06,50.3875969,43.41085271,3.100775194,3.100775194,0,0,0,0.056726651
26.74378,26.95282,2036.21,0.7663,1.81E-06,57.37704918,36.06557377,3.278688525,0,0,0,3.278688525,0.018224358
13.27242,13.43695,3165.78,0.74132,2.85E-06,60.6557377,32.78688525,3.278688525,0,0,0,3.278688525,0.028731863
