PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-1 bar (mol/kg)
9.73082,11.35144,3488.17,0.71632,4.87E-06,56.98924731,36.55913978,6.451612903,0,0,0,0,0.460015099
8.981,9.50439,1091.97,0.50322,1.81E-06,50,37.5,6.25,0,6.25,0,0,0.178609419
15.93388,16.0767,2731.74,0.72326,2.37E-06,56.06060606,36.36363636,7.575757576,0,0,0,0,0.232405857
15.87921,16.17243,1425.81,0.62994,1.74E-06,56.52173913,26.08695652,4.347826087,8.695652174,4.347826087,0,0,0.171071397
35.2441,35.39294,1897.75,0.79356,1.98E-06,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,0.195696454
32.73607,32.90312,1910.99,0.78096,2.07E-06,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,0.204890516
8.53533,9.02441,928.833,0.4902,1.85E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.183438144
8.54051,9.02697,907.124,0.48356,1.85E-06,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.181150294
10.6911,11.33366,1450.41,0.57354,2.04E-06,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,0.201362226
34.44668,34.61497,1924.91,0.79376,1.98E-06,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,0.1972978
22.28222,22.52993,1811.83,0.73536,1.77E-06,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,0.175351539
29.34631,29.53268,1927.96,0.77516,1.96E-06,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,0.193475393
14.50589,14.87005,1498.63,0.64632,1.67E-06,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,0.165392395
15.39744,15.74056,1641.19,0.67062,1.52E-06,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,0.151163684
34.82461,34.97956,1866.35,0.79366,1.96E-06,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,0.194745039
15.76522,16.06665,2164.64,0.71522,1.92E-06,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,0.189992702
7.84341,8.45883,1393.3,0.56732,2.52E-06,58.69565217,34.7826087,6.52173913,0,0,0,0,0.246165642
7.98521,9.86309,3946.15,0.72614,3.97E-06,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,0.392246039
18.49772,23.03655,8580.7,0.9386,5.24E-06,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,0.529830745
5.02763,5.77387,1101.82,0.57018,3.73E-06,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,0.357314432
5.05599,5.65179,607.027,0.55358,5.14E-06,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,0.48631189
23.44472,23.68264,1927.91,0.73568,1.72E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.170971472
21.65111,21.90241,1667.04,0.69412,1.72E-06,50,40,5,5,0,0,0,0.1694407
14.56137,14.80414,1601.61,0.65458,1.47E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,0.145404763
10.9469,11.39779,1390.45,0.58732,1.83E-06,55,35,5,5,0,0,0,0.181480176
7.16556,9.34656,4266.05,0.7499,9.92E-06,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,0.858556996
18.84768,19.35841,2221.59,0.75284,1.71E-06,56.25,31.25,3.125,0,0,9.375,0,0.171705742
18.58985,19.00793,1891.19,0.72758,1.34E-06,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,0.133207963
31.34049,31.52027,1938.68,0.7794,1.88E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,0.188249773
8.50466,9.68318,5308.23,0.79852,3.61E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,0.363144938
19.05082,27.47264,6351.38,0.9169,4.58E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,0.447269886
24.20917,24.5783,2109.22,0.73274,2.33E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,0.229177116
7.6513,8.38327,513.384,0.53882,5.54E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.055826133
37.54961,37.74057,2647.6,0.83454,2.24E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.223345631
34.3979,34.55962,2449.5,0.82182,2.14E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.212899336
55.44839,55.49799,2371.05,0.86226,2.50E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.249381454
9.79296,10.47702,1277.65,0.58932,6.82E-07,43.75,37.5,0,12.5,6.25,0,0,0.068005713
12.22497,12.7233,1965.68,0.6377,1.81E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.178474789
13.70357,14.0752,1601.26,0.63478,2.38E-06,50,20,0,20,10,0,0,0.233815735
27.14113,34.56119,7623.71,0.90746,4.55E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,0.452001595
5.40897,9.86824,4214.86,0.72396,3.97E-06,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.394426929
9.26179,9.35855,3254.74,0.72776,4.16E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.408950694
4.33795,4.58342,399.366,0.46242,3.53E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.320268304
8.87996,8.97856,1869.59,0.62822,4.24E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.419505283
4.09217,4.35137,258.579,0.43584,4.59E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.397543989
12.74558,13.0458,1134.58,0.5562,3.07E-06,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.291055047
12.78481,13.08945,1111.54,0.59634,2.95E-06,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.285567141
8.28768,8.45131,1791.81,0.62786,1.36E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.136516927
18.69066,20.45335,3980.38,0.81322,7.41E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.632221449
30.82882,31.00347,2234.24,0.78856,1.92E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.191286586
23.14657,23.37377,2027.01,0.74468,1.79E-06,50,37.5,6.25,6.25,0,0,0,0.177908736
16.8085,17.19339,2642.36,0.72696,2.13E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.20903511
32.26851,32.49748,2597.35,0.82036,1.73E-06,46.875,40.625,6.25,6.25,0,0,0,0.174582763
21.98706,22.24941,1742.73,0.7308,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.180577183
23.64538,23.86875,1697.67,0.72312,1.76E-06,56.25,25,0,12.5,6.25,0,0,0.174829237
8.56216,9.14896,1114.65,0.53162,2.44E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.239926297
24.14836,24.38426,1743.58,0.73324,1.76E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.175234746
16.21639,16.54198,1595.7,0.65038,1.57E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.156302435
17.28794,17.6262,1612.52,0.67756,3.02E-06,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.294607067
25.30476,25.68704,2252.6,0.7401,2.60E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,0.257144448
18.04318,18.33921,2142.94,0.68034,1.18E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,0.117213262
25.21035,25.45912,2597.93,0.79384,1.72E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.170667552
10.98125,12.52501,5102.7,0.75934,5.89E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,0.569901945
