PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KCH4 (mol/kg/Pa) ,%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,CH4-10 bar (mol/kg)
23.44472,23.68264,1927.91,0.73568,3.69E-06,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,3.24606366
21.65111,21.90241,1667.04,0.69412,4.21E-06,50,40,5,5,0,0,0,3.393132583
14.56137,14.80414,1601.61,0.65458,3.62E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,3.057086699
10.9469,11.39779,1390.45,0.58732,5.49E-06,55,35,5,5,0,0,0,4.022186646
7.16556,9.34656,4266.05,0.7499,2.68E-05,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,9.149673704
18.84768,19.35841,2221.59,0.75284,3.43E-06,56.25,31.25,3.125,0,0,9.375,0,3.130170703
18.58985,19.00793,1891.19,0.72758,2.65E-06,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,2.450828542
31.34049,31.52027,1938.68,0.7794,3.79E-06,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,3.336841893
8.50466,9.68318,5308.23,0.79852,6.88E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,7.152779315
19.05082,27.47264,6351.38,0.9169,6.51E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,6.481654234
24.20917,24.5783,2109.22,0.73274,6.39E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,4.496816713
7.6513,8.38327,513.384,0.53882,7.22E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.585473682
37.54961,37.74057,2647.6,0.83454,3.86E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,3.561111515
34.3979,34.55962,2449.5,0.82182,3.93E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,3.525678432
55.44839,55.49799,2371.05,0.86226,4.25E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,3.89786832
9.79296,10.47702,1277.65,0.58932,1.06E-06,43.75,37.5,0,12.5,6.25,0,0,1.051573184
12.22497,12.7233,1965.68,0.6377,5.24E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,4.259664212
13.70357,14.0752,1601.26,0.63478,7.55E-06,50,20,0,20,10,0,0,4.651619219
27.14113,34.56119,7623.71,0.90746,7.04E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,6.799219242
5.40897,9.86824,4214.86,0.72396,1.09E-05,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,7.775179023
9.26179,9.35855,3254.74,0.72776,7.95E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,6.498099077
4.33795,4.58342,399.366,0.46242,2.34E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,2.843077864
8.87996,8.97856,1869.59,0.62822,1.42E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,7.48531146
4.09217,4.35137,258.579,0.43584,2.85E-05,56.16438356,38.35616438,5.479452055,0,0,0,0,2.905041199
12.74558,13.0458,1134.58,0.5562,1.54E-05,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,3.791065024
12.78481,13.08945,1111.54,0.59634,1.16E-05,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,4.42037235
8.28768,8.45131,1791.81,0.62786,3.31E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,2.788153995
18.69066,20.45335,3980.38,0.81322,2.93E-05,56.60377358,35.8490566,7.547169811,0,0,0,0,6.939390958
30.82882,31.00347,2234.24,0.78856,3.80E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,3.275321009
23.14657,23.37377,2027.01,0.74468,3.87E-06,50,37.5,6.25,6.25,0,0,0,3.294114487
16.8085,17.19339,2642.36,0.72696,6.00E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,4.218694838
32.26851,32.49748,2597.35,0.82036,2.88E-06,46.875,40.625,6.25,6.25,0,0,0,2.689184876
21.98706,22.24941,1742.73,0.7308,4.54E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,3.454057472
23.64538,23.86875,1697.67,0.72312,3.96E-06,56.25,25,0,12.5,6.25,0,0,3.417244575
8.56216,9.14896,1114.65,0.53162,9.63E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,4.394728761
24.14836,24.38426,1743.58,0.73324,3.93E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,3.306502496
16.21639,16.54198,1595.7,0.65038,3.78E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,3.347333289
17.28794,17.6262,1612.52,0.67756,1.02E-05,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,5.062327725
25.30476,25.68704,2252.6,0.7401,6.81E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,4.922087702
18.04318,18.33921,2142.94,0.68034,2.70E-06,41.66666667,37.5,8.333333333,12.5,0,0,0,2.237611278
25.21035,25.45912,2597.93,0.79384,3.08E-06,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,2.902846788
10.98125,12.52501,5102.7,0.75934,1.73E-05,56.52173913,38.04347826,5.434782609,0,0,0,0,9.183274311
10.12633,11.59954,3831.24,0.71288,1.39E-05,55.55555556,37.5,6.944444444,0,0,0,0,7.191774065
31.98616,32.11213,2477.4,0.77316,5.51E-06,57.44680851,38.29787234,4.255319149,0,0,0,0,4.317663037
21.24887,21.39035,1375.09,0.62376,3.86E-06,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,2.815554484
16.83337,17.12286,2390.91,0.70752,3.82E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,3.231547694
24.86871,25.35566,3444.92,0.8318,4.59E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,4.055350509
9.65747,11.09613,2283.27,0.67046,3.92E-06,53.19148936,42.55319149,4.255319149,0,0,0,0,3.720011545
14.64627,14.87352,2607.7,0.72348,4.80E-06,59.09090909,38.63636364,2.272727273,0,0,0,0,3.941277148
26.94167,27.1243,1677.46,0.75146,3.03E-06,55,25,10,0,0,10,0,2.642503701
9.7242,10.56229,782.175,0.5707,2.37E-06,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,1.961897545
23.89316,24.1474,2102,0.70558,5.47E-06,56.09756098,37.80487805,6.097560976,0,0,0,0,3.761400625
16.82414,17.17805,1684.24,0.59818,6.42E-06,52.27272727,38.63636364,4.545454545,4.545454545,0,0,0,2.995637225
9.74184,10.18081,1301.04,0.57538,5.19E-06,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,3.771856078
13.58509,14.58188,2747.7,0.70796,3.87E-06,44.82758621,48.27586207,3.448275862,3.448275862,0,0,0,3.210008871
21.34032,21.55177,1674.5,0.70852,3.42E-06,40,35,10,15,0,0,0,2.739566713
9.06841,9.51608,600.981,0.48302,2.66E-06,55.07246377,37.68115942,7.246376812,0,0,0,0,1.843913183
15.60159,15.98839,2205.43,0.70816,3.68E-06,54.54545455,36.36363636,9.090909091,0,0,0,0,3.292101865
8.40883,9.02368,482.236,0.52898,3.48E-06,37.5,46.875,6.25,6.25,0,0,3.125,2.194972333
10.67786,11.16226,1488.03,0.59456,3.97E-06,61.9047619,33.33333333,4.761904762,0,0,0,0,3.041185124
35.49808,35.70981,2538.44,0.83738,3.71E-06,50.94339623,37.73584906,7.547169811,3.773584906,0,0,0,3.461992753
11.24578,11.69348,1860.91,0.61976,4.36E-06,57.14285714,35.71428571,7.142857143,0,0,0,0,3.356291955
17.10247,17.40167,927.31,0.52224,2.53E-06,51.35135135,40.54054054,8.108108108,0,0,0,0,1.639286496
22.83776,23.86923,6014.09,0.8601,1.18E-05,54.23728814,30.50847458,0,10.16949153,5.084745763,0,0,8.794123099
25.24971,25.75548,3913,0.84754,5.05E-06,54.375,36.875,5,0,0,0,3.75,4.541330352
23.81541,24.06097,1831.5,0.72056,2.52E-06,61.11111111,33.33333333,5.555555556,0,0,0,0,2.372370245
32.05739,32.23268,1966.39,0.77422,2.70E-06,60.86956522,34.7826087,4.347826087,0,0,0,0,2.531871215
16.88399,17.68947,4042.07,0.81256,5.00E-06,41.83673469,51.02040816,5.102040816,2.040816327,0,0,0,4.398577042
38.02857,38.18266,2421.47,0.82272,3.40E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,3.139186002
38.73241,38.88744,2573.21,0.84332,4.05E-06,52.72727273,34.54545455,9.090909091,3.636363636,0,0,0,3.521389008
37.56498,37.65744,3106.64,0.85454,4.17E-06,53.84615385,34.61538462,7.692307692,3.846153846,0,0,0,3.706392284
26.35383,26.54457,2082.13,0.76606,2.93E-06,51.35135135,29.72972973,13.51351351,5.405405405,0,0,0,2.61025738
25.82277,26.05323,2077.82,0.77472,4.37E-06,50,33.33333333,11.11111111,5.555555556,0,0,0,3.718837124
38.80415,38.87485,2607.72,0.80212,5.38E-06,57.89473684,38.59649123,3.50877193,0,0,0,0,4.354103262
12.63935,13.00429,1699.8,0.64652,3.87E-06,52,28,12,8,0,0,0,2.946022379
19.01338,19.17626,2119.45,0.73848,3.86E-06,47.5,35,10,7.5,0,0,0,3.292611157
27.09758,27.20545,2190.75,0.78752,3.63E-06,47.5,35,10,5,0,0,2.5,3.201650177
38.96494,39.10948,2611.01,0.83528,3.92E-06,54.16666667,37.5,8.333333333,0,0,0,0,3.467666737
25.97265,26.20447,2379.75,0.76662,3.97E-06,56,40,4,0,0,0,0,3.339247695
21.23186,21.48053,2260.29,0.773,3.35E-06,53.06122449,36.73469388,7.142857143,3.06122449,0,0,0,2.860261462
23.07162,23.97144,5034.96,0.85508,2.95E-05,52.45901639,34.42622951,9.836065574,3.278688525,0,0,0,7.205459307
10.6711,11.55953,1045.28,0.57244,1.19E-05,54.54545455,39.39393939,6.060606061,0,0,0,0,2.716164989
18.67205,18.83659,1507.46,0.65308,4.64E-06,52.63157895,31.57894737,0,10.52631579,5.263157895,0,0,3.836540612
8.40705,8.94082,993.066,0.5077,7.37E-06,57.14285714,28.57142857,14.28571429,0,0,0,0,3.401155293
10.55911,10.99477,1241.18,0.55678,3.62E-06,60,30,10,0,0,0,0,3.166012478
6.02452,6.73972,1007.55,0.52324,2.23E-05,50,25,25,0,0,0,0,3.237323397
21.99696,22.25586,1733.44,0.72906,4.59E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,3.449104837
14.85314,15.16267,1485.39,0.64318,4.11E-06,50,25,8.333333333,16.66666667,0,0,0,3.107588034
15.82205,16.14031,1634.8,0.66114,3.61E-06,50,33.33333333,8.333333333,8.333333333,0,0,0,3.047890908
19.03653,19.28003,1547.81,0.69218,5.08E-06,54.54545455,18.18181818,6.060606061,12.12121212,6.060606061,0,3.03030303,3.729264165
21.82001,22.09147,1891.18,0.73434,3.74E-06,55.55555556,33.33333333,5.555555556,5.555555556,0,0,0,3.04590277
21.37753,30.82847,6958.99,0.93212,6.86E-06,61.29032258,25.80645161,0,8.602150538,4.301075269,0,0,6.706726306
27.50721,27.70127,1782.77,0.74908,3.39E-06,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,3.014060612
31.42483,31.59639,1787.64,0.7723,4.19E-06,65,20,0,10,5,0,0,3.655803482
30.33059,30.47384,1932.9,0.78676,8.06E-06,54.54545455,36.36363636,4.545454545,4.545454545,0,0,0,6.066065256
