PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,H2-1bar (mol/kg)
35.25057,35.39294,1904.45996,0.79225,9.04E-07,53.57142857,32.14285714,3.571428571,7.142857143,3.571428571,0,0,0.090252256
32.73608,32.90312,1914.83997,0.78026,8.59E-07,51.61290323,35.48387097,3.225806452,6.451612903,3.225806452,0,0,0.085673074
8.53535,9.02476,937.27802,0.48904,2.90E-07,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.029051781
8.54052,9.02697,917.12201,0.48427,2.90E-07,50,28.57142857,7.142857143,7.142857143,7.142857143,0,0,0.028961927
10.69113,11.33369,1461.26001,0.57216,4.35E-07,47.6635514,47.6635514,3.738317757,0,0.934579439,0,0,0.043348371
34.44702,34.61577,1927.94995,0.79281,9.03E-07,55.17241379,34.48275862,0,6.896551724,3.448275862,0,0,0.091129514
22.28222,22.52993,1822.82996,0.73517,6.36E-07,57.14285714,28.57142857,7.142857143,0,0,0,7.142857143,0.063405619
29.34631,29.53267,1935.90002,0.77599,8.04E-07,57.89473684,31.57894737,5.263157895,0,0,0,5.263157895,0.08014526
14.50589,14.87005,1511.42004,0.64616,4.71E-07,59.09090909,31.81818182,4.545454545,0,0,0,4.545454545,0.047097896
15.39744,15.74056,1649.58997,0.67012,4.91E-07,57.14285714,28.57142857,9.523809524,0,0,0,4.761904762,0.048847288
34.82462,34.97957,1871.72998,0.79182,8.99E-07,56.52173913,26.08695652,0,13.04347826,4.347826087,0,0,0.088521615
15.76522,16.06665,2174.21997,0.71635,6.25E-07,48.7804878,34.14634146,14.63414634,0,0,0,2.43902439,0.061842394
7.84341,8.45883,1408.23999,0.56871,3.91E-07,58.69565217,34.7826087,6.52173913,0,0,0,0,0.038794902
7.98521,9.5929,3984.08008,0.72543,8.50E-07,51.2605042,42.01680672,3.361344538,3.361344538,0,0,0,0.084689682
18.49772,22.89609,8557.29004,0.93775,3.61E-06,53.4591195,41.50943396,2.51572327,2.51572327,0,0,0,0.360115129
5.02763,5.60554,1138.80005,0.5691,3.98E-07,52.63157895,40.35087719,3.50877193,3.50877193,0,0,0,0.039570079
5.05582,5.65179,621.33502,0.5521,4.26E-07,50.84745763,38.98305085,3.389830508,6.779661017,0,0,0,0.041950066
23.44472,23.68264,1937.41003,0.73418,6.82E-07,52.94117647,35.29411765,5.882352941,5.882352941,0,0,0,0.067848065
21.6511,21.90241,1671.43005,0.69497,5.95E-07,50,40,5,5,0,0,0,0.059232463
14.56137,14.80414,1609.76001,0.65526,4.67E-07,50,33.33333333,8.333333333,8.333333333,0,0,0,0.04647856
10.9469,11.39779,1402.31995,0.58702,4.20E-07,55,35,5,5,0,0,0,0.042331145
7.16546,9.34648,4355.20996,0.74865,1.15E-06,56.60377358,35.8490566,5.031446541,2.51572327,0,0,0,0.114572785
18.84768,19.35841,2235.11011,0.75318,6.79E-07,56.25,31.25,3.125,0,0,9.375,0,0.067411025
18.58985,19.00793,1896.52002,0.72625,5.51E-07,54.83870968,29.03225806,6.451612903,0,0,9.677419355,0,0.055480035
31.34048,31.52025,1949.42004,0.7784,8.42E-07,57.14285714,28.57142857,0,9.523809524,4.761904762,0,0,0.084087713
8.50466,9.68318,5315.4502,0.79716,1.24E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,0.124067966
19.05082,27.45829,6386.62988,0.91614,2.64E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,0.26079645
24.20917,24.5783,2130.01001,0.73436,6.65E-07,56.75675676,32.43243243,0,10.81081081,0,0,0,0.066343973
7.65148,8.38547,514.70801,0.53722,1.65E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.016434342
37.54964,37.7406,2652.96997,0.83613,1.23E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.122053927
34.39789,34.55962,2458.88989,0.82138,1.08E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.107552801
55.44838,55.49799,2374.01001,0.86184,1.47E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.145599324
9.83864,10.52235,1355.10999,0.5936,2.63E-07,43.75,37.5,0,12.5,6.25,0,0,0.026315692
12.22862,12.7305,1936.48999,0.63643,4.24E-07,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.042152639
14.32871,14.70936,1705.06995,0.65676,4.99E-07,50,20,0,20,10,0,0,0.049816919
27.14113,34.56118,7632.5498,0.90721,2.44E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,0.241614743
5.40988,9.86844,4239.87012,0.72369,8.75E-07,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.086768329
9.26179,9.35662,3301.47998,0.72525,8.26E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.081851914
4.33796,4.51116,425.80899,0.4606,2.09E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.02074205
8.87996,8.9758,1887.91003,0.62849,6.30E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.06220041
4.09217,4.26472,280.26501,0.43218,2.09E-07,56.16438356,38.35616438,5.479452055,0,0,0,0,0.020617416
12.74558,13.0458,1137.10999,0.55676,3.68E-07,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.036964616
12.78481,13.04187,1019.62,0.57778,4.41E-07,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.043915614
8.28768,8.45131,1815.68994,0.62757,3.82E-07,56.98924731,38.70967742,4.301075269,0,0,0,0,0.037767618
18.69032,20.45325,4020.01001,0.81311,1.27E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.126987727
30.82864,31.00321,2242.76001,0.78767,9.02E-07,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.090145551
23.14667,23.37386,2038.02002,0.74386,7.14E-07,50,37.5,6.25,6.25,0,0,0,0.071667661
16.8085,17.18555,2647.34009,0.72878,6.18E-07,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.061216897
32.26851,32.49748,2602.62012,0.82131,9.85E-07,46.875,40.625,6.25,6.25,0,0,0,0.098726924
5.24918,5.97531,1209.20996,0.52471,6.18E-07,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.061753501
23.42499,23.65772,1707.31006,0.7245,6.46E-07,56.25,25,0,12.5,6.25,0,0,0.064071235
8.56216,9.14896,1128.28003,0.52887,3.67E-07,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.036423545
26.65941,26.99886,4453.25,0.86251,6.68E-07,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.067532171
16.21639,16.54198,1601.43005,0.64798,4.96E-07,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.049212811
17.28794,17.6262,1616.93994,0.6782,6.17E-07,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.060978811
25.30476,25.68704,2293.90991,0.73848,7.26E-07,56.75675676,37.83783784,5.405405405,0,0,0,0,0.072670202
18.04318,18.33931,2152.63989,0.6805,4.56E-07,41.66666667,37.5,8.333333333,12.5,0,0,0,0.045892325
25.21032,25.45909,2609.27002,0.79385,8.67E-07,46.66666667,33.33333333,13.33333333,6.666666667,0,0,0,0.086019404
10.98125,12.52501,5124.43994,0.75873,1.10E-06,56.52173913,38.04347826,5.434782609,0,0,0,0,0.108229933
10.12633,11.59954,3856.43994,0.71232,7.89E-07,55.55555556,37.5,6.944444444,0,0,0,0,0.08005478
31.98616,32.11213,2488.97998,0.77281,8.66E-07,57.44680851,38.29787234,4.255319149,0,0,0,0,0.086170213
21.24913,21.39054,1387.27002,0.6229,4.21E-07,54.05405405,35.13513514,5.405405405,5.405405405,0,0,0,0.042349719
16.83324,17.12234,2403.04004,0.70765,6.44E-07,54.54545455,36.36363636,9.090909091,0,0,0,0,0.063962377
24.86859,25.33571,3463.21997,0.83065,1.17E-06,53.04878049,38.41463415,4.87804878,0,0,0,3.658536585,0.116570687
9.65747,11.09613,2302.54004,0.67166,4.86E-07,53.19148936,42.55319149,4.255319149,0,0,0,0,0.048454723
14.64627,14.87351,2615.26001,0.72096,6.83E-07,59.09090909,38.63636364,2.272727273,0,0,0,0,0.06745247
26.94152,27.13079,1680.04004,0.75037,6.48E-07,55,25,10,0,0,10,0,0.064455867
9.7242,10.56229,796.69299,0.57057,2.20E-07,38.23529412,23.52941176,5.882352941,5.882352941,0,26.47058824,0,0.022183687
