PLD (Å),LCD (Å),Sacc (m2/g-1),Porosity,KO2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,O2-0.1 bar (mol/kg)
8.50466,9.68318,5308.23,0.79852,3.61E-06,48.97959184,32.65306122,0,8.163265306,10.20408163,0,0,0.037221338
19.05082,27.47264,6351.38,0.9169,4.58E-06,63.63636364,20.77922078,0,10.38961039,5.194805195,0,0,0.044228638
24.20917,24.5783,2109.22,0.73274,2.33E-06,56.75675676,32.43243243,0,10.81081081,0,0,0,0.023651671
7.6513,8.38327,513.384,0.53882,5.54E-07,42.10526316,42.10526316,0,10.52631579,5.263157895,0,0,0.005376855
37.54961,37.74057,2647.6,0.83454,2.24E-06,57.69230769,38.46153846,3.846153846,0,0,0,0,0.022679835
34.3979,34.55962,2449.5,0.82182,2.14E-06,57.69230769,34.61538462,0,7.692307692,0,0,0,0.021400785
55.44839,55.49799,2371.05,0.86226,2.50E-06,57.14285714,38.7755102,0,4.081632653,0,0,0,0.024707471
9.79296,10.47702,1277.65,0.58932,6.82E-07,43.75,37.5,0,12.5,6.25,0,0,0.006488249
12.22497,12.7233,1965.68,0.6377,1.81E-06,46.15384615,30.76923077,0,15.38461538,7.692307692,0,0,0.018026442
13.70357,14.0752,1601.26,0.63478,2.38E-06,50,20,0,20,10,0,0,0.023671368
27.14113,34.56119,7623.71,0.90746,4.55E-06,57.63546798,38.42364532,3.9408867,0,0,0,0,0.045684595
5.40897,9.86824,4214.86,0.72396,3.97E-06,39.48339483,44.2804428,0,8.856088561,7.380073801,0,0,0.038552044
9.26179,9.35855,3254.74,0.72776,4.16E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.041226704
4.33795,4.58342,399.366,0.46242,3.53E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.03474439
8.87996,8.97856,1869.59,0.62822,4.24E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.042612578
4.09217,4.35137,258.579,0.43584,4.59E-06,56.16438356,38.35616438,5.479452055,0,0,0,0,0.045815125
12.74558,13.0458,1134.58,0.5562,3.07E-06,66.66666667,13.33333333,6.666666667,13.33333333,0,0,0,0.030442663
12.78481,13.08945,1111.54,0.59634,2.95E-06,64.28571429,14.28571429,7.142857143,14.28571429,0,0,0,0.029533094
8.28768,8.45131,1791.81,0.62786,1.36E-06,56.98924731,38.70967742,4.301075269,0,0,0,0,0.013571733
18.69066,20.45335,3980.38,0.81322,7.41E-06,56.60377358,35.8490566,7.547169811,0,0,0,0,0.073151111
30.82882,31.00347,2234.24,0.78856,1.92E-06,52.38095238,38.0952381,4.761904762,4.761904762,0,0,0,0.01945564
23.14657,23.37377,2027.01,0.74468,1.79E-06,50,37.5,6.25,6.25,0,0,0,0.017784217
16.8085,17.19339,2642.36,0.72696,2.13E-06,40.90909091,40.90909091,9.090909091,9.090909091,0,0,0,0.021290862
32.26851,32.49748,2597.35,0.82036,1.73E-06,46.875,40.625,6.25,6.25,0,0,0,0.017072088
21.98706,22.24941,1742.73,0.7308,1.84E-06,55.55555556,27.77777778,5.555555556,11.11111111,0,0,0,0.018562872
23.64538,23.86875,1697.67,0.72312,1.76E-06,56.25,25,0,12.5,6.25,0,0,0.017665344
8.56216,9.14896,1114.65,0.53162,2.44E-06,57.14285714,21.42857143,0,14.28571429,7.142857143,0,0,0.02349401
24.14836,24.38426,1743.58,0.73324,1.76E-06,57.14285714,30.15873016,3.174603175,6.349206349,3.174603175,0,0,0.017508546
16.21639,16.54198,1595.7,0.65038,1.57E-06,58.33333333,29.16666667,0,8.333333333,4.166666667,0,0,0.015261811
17.28794,17.6262,1612.52,0.67756,3.02E-06,62.22222222,28.88888889,4.444444444,0,0,0,4.444444444,0.029894905
25.30476,25.68704,2252.6,0.7401,2.60E-06,56.75675676,37.83783784,5.405405405,0,0,0,0,0.026163376
